Word,Number in hard mode,syllable,frequency,tag
slump,1362,1,5078,8
crank,1763,1,3506,8
gorge,1913,1,2019,8
query,2242,2,2587,8
drink,3017,1,54651,13
favor,3073,2,32769,8
abbey,3345,2,1335,8
tangy,3985,0,628,8
panic,4655,2,9872,4
solar,4955,2,13251,4
shire,5640,1,164,8
proxy,6206,2,1933,8
point,7094,1,262772,8
robot,6589,2,6897,8
prick,7409,1,1565,4
wince,6850,1,2611,8
crimp,7630,1,562,8
knoll,8317,1,719,8
sugar,8708,2,28497,8
whack,10163,1,2011,8
mount,11451,1,11575,8
perky,11148,2,473,8
could,11592,1,669783,7
wrung,11524,1,0,13
light,13347,1,148037,4
those,13606,1,410262,1
moist,14205,1,3364,4
shard,14609,1,1495,4
pleat,14813,1,368,8
aloft,13708,2,1096,11
skill,13716,1,55280,4
elder,13340,2,9605,8
frame,15369,1,29434,8
humor,13846,2,11074,8
pause,13480,1,22386,8
ulcer,10631,2,1693,4
ultra,9310,2,959,4
robin,3249,2,6843,8
cynic,10343,2,704,4
aroma,10343,3,2323,8
caulk,10740,1,433,9
shake,12767,1,51166,17
dodge,10220,1,3126,8
swill,11241,1,210,8
tacit,11094,2,886,18
other,10887,2,663078,4
thorn,11814,1,1989,4
trove,11411,1,622,3
bloke,10405,1,272,8
vivid,11687,2,4359,8
spill,10087,1,11458,8
chant,10438,1,4727,4
choke,10521,1,5854,14
rupee,10577,2,0,4
nasty,10813,2,6185,4
mourn,10465,1,3051,8
ahead,9396,2,56643,11
brine,10405,1,796,4
cloth,9911,1,8899,0
hoard,9823,1,1175,4
sweet,9767,1,28899,4
month,9435,1,177639,8
lapse,9960,1,2439,8
watch,12400,1,151340,8
today,9353,2,199257,8
focus,8937,2,93375,13
smelt,9373,1,342,4
tease,10024,1,5053,8
cater,11234,2,3012,8
movie,8847,2,74861,8
saute,9304,2,0,8
allow,8515,2,124739,17
renew,8417,2,4402,13
their,9200,1,1170105,10
slosh,8807,1,742,4
purge,8555,1,1838,8
chest,9318,1,24493,6
depot,8562,2,2991,8
epoxy,9376,3,649,4
nymph,9935,1,700,8
found,10613,1,13358,14
shall,8494,1,16980,7
stove,9318,1,6525,13
lowly,8469,2,887,11
snout,8913,1,825,3
trope,9315,0,835,8
fewer,7931,2,19849,5
shawl,7943,1,1259,4
natal,7702,2,242,4
comma,7560,2,427,8
foray,7575,2,1555,8
scare,9010,1,9723,8
stair,8537,1,13029,4
black,7894,1,187055,4
squad,7236,1,5908,8
royal,7275,2,14093,8
chunk,7835,1,6426,8
mince,7356,1,2768,8
shame,8522,1,9428,8
cheek,7035,1,14550,4
ample,7008,2,3561,4
flair,7341,1,1317,8
foyer,8198,2,1840,8
cargo,6796,2,5476,8
oxide,6960,2,1720,8
plant,7731,1,82194,8
olive,6482,2,4942,4
inert,6743,2,853,8
askew,6549,2,497,4
heist,6830,1,380,8
shown,6564,1,0,16
zesty,6315,0,211,4
trash,7001,1,8413,8
larva,5749,2,2038,8
forgo,5699,2,1092,17
story,6530,2,178828,8
hairy,5941,2,1728,8
train,7243,1,49488,8
homer,6313,2,619,8
badge,5482,1,3150,8
midst,5233,1,6239,8
canny,5256,2,407,4
shine,6146,1,11611,8
gecko,5489,2,324,8
farce,5688,1,832,8
slung,5419,1,0,8
tipsy,5522,2,329,8
metal,5290,2,25132,4
yield,4963,1,19404,8
delve,5179,1,1285,8
being,5142,2,23301,15
scour,5544,2,1800,4
glass,5162,1,56016,8
gamer,5238,2,518,8
scrap,4973,1,5919,8
money,4928,2,178555,8
hinge,4906,1,3025,8
album,4809,2,17346,11
vouch,4835,1,491,4
asset,4733,2,18161,8
tiara,4842,3,506,8
crept,4562,1,0,14
bayou,4435,2,1374,4
atoll,4741,2,343,8
manor,4802,2,1591,8
creak,4797,1,1739,8
showy,4770,2,494,4
peach,4957,1,4662,8
froth,4432,1,587,8
depth,4329,1,14084,8
gloom,4548,1,1855,8
flood,4440,1,14764,8
trait,4607,1,8775,8
girth,4665,1,501,8
piety,4324,3,1183,8
goose,4087,1,4693,17
float,4323,1,13783,8
donor,4142,2,7849,8
atone,4762,2,253,8
primo,4391,2,140,8
apron,4112,2,2483,17
blown,4251,1,527,16
cacao,4101,3,418,9
loser,4399,2,5213,12
input,3950,2,8122,8
gloat,4194,1,525,8
awful,3861,2,10786,4
brink,4118,1,2554,8
smite,3991,0,794,8
beady,3670,2,244,4
rusty,3954,2,1802,4
retro,3848,2,887,8
droll,3844,1,241,8
gawky,3957,2,150,8
hutch,3758,1,546,8
pinto,3792,2,678,8
egret,3515,2,426,4
lilac,3461,2,959,8
sever,3591,2,1892,8
field,3604,1,102471,8
fluff,4049,1,1049,8
agape,3671,2,308,8
voice,3484,1,103954,8
stead,3933,1,437,14
berth,3494,1,1885,4
madam,3430,2,1284,9
night,3870,1,198607,8
bland,3727,1,1580,17
liver,3388,2,5774,11
wedge,3353,1,5750,17
roomy,3280,2,1027,4
wacky,3345,2,959,4
flock,3548,1,5403,8
angry,3358,2,23258,4
trite,3685,1,322,4
aphid,3367,2,527,8
tryst,3665,1,299,8
midge,3111,1,286,8
power,3401,2,158735,8
elope,3339,2,264,8
cinch,3507,1,888,8
motto,3285,2,1872,8
stomp,3490,1,2382,8
upset,3213,2,16167,4
bluff,3171,1,3219,8
cramp,3369,1,2048,8
quart,3303,1,0,8
coyly,3380,2,244,8
youth,3327,1,31288,8
rhyme,3336,1,2336,8
buggy,3428,2,969,4
alien,3395,3,13335,4
smear,3190,1,3282,4
unfit,3187,2,946,4
patty,3019,2,4031,8
cling,3312,1,6159,15
glean,3243,1,1398,4
label,3076,2,22187,8
hunky,3185,2,214,8
khaki,2968,2,1016,8
poker,3180,2,2458,8
gruel,3087,2,198,8
twice,3173,1,28451,11
twang,3172,1,467,14
shrug,2987,1,13727,4
treat,3249,1,47617,8
waste,3186,1,31416,8
merit,3123,2,7752,8
woven,2933,2,1191,16
needy,2927,2,1990,4
clown,3175,1,3343,8
irony,3046,3,6237,8
ruder,2784,2,0,8
gauze,2866,1,771,8
chief,3072,1,58464,8
onset,3009,2,3077,16
prize,3166,1,12787,8
fungi,2928,2,0,9
charm,3149,1,7291,17
gully,2877,2,949,11
inter,2889,2,664,4
whoop,2970,1,1154,8
taunt,3022,1,1881,8
leery,2873,2,579,4
class,3001,1,98873,8
theme,2909,1,24375,8
lofty,2777,2,1697,14
tibia,2675,3,401,4
booze,2883,1,1484,8
alpha,2706,2,5683,8
thyme,2938,1,2635,14
doubt,3011,1,31247,8
parer,4130,0,0,8
chute,3073,1,1542,8
stick,3038,1,47814,4
trice,3430,1,134,8
alike,2843,2,7331,11
recap,2900,2,278,4
saint,3119,1,12238,8
glory,2893,2,7151,8
grate,3077,1,3553,8
admit,2677,2,37772,8
brisk,2884,1,1869,4
soggy,2888,2,1056,4
usurp,3007,2,668,4
scald,2829,1,467,8
scorn,2859,1,1750,9
leave,2696,1,265886,17
twine,2775,1,1001,4
sting,2969,1,5111,8
bough,3060,1,679,3
march,2885,1,8898,8
sloth,2987,1,465,8
dandy,2840,2,759,4
vigor,2642,2,1685,8
howdy,2668,2,421,8
enjoy,2654,2,47970,8
valid,2752,2,5929,4
ionic,2947,3,171,4
equal,2677,2,24837,4
floor,2752,1,67670,8
catch,3123,1,80923,8
spade,2854,1,1265,14
stein,2965,1,3193,4
exist,2805,2,42240,4
quirk,2794,1,1262,8
denim,2769,2,1659,8
grove,2794,1,5812,8
spiel,2810,1,338,8
mummy,3021,2,1656,8
fault,2768,1,13053,8
foggy,2817,2,1056,14
flout,2904,1,391,8
carry,2615,2,85616,8
sneak,2636,1,6613,17
libel,2536,2,710,8
waltz,2496,1,929,8
aptly,2572,2,1187,11
piney,3667,0,0,18
inept,2640,2,814,4
aloud,2819,2,4408,4
photo,2565,2,96626,8
dream,2751,1,56680,8
stale,3013,1,1672,8
begin,2439,2,243543,8
spell,2531,1,10519,17
rainy,2678,2,2703,4
unite,2575,2,6887,4
medal,2438,2,9450,4
valet,2356,2,997,8
inane,2515,2,306,8
maple,2467,2,4853,8
snarl,2650,1,1843,8
baker,2541,2,14053,8
there,2530,1,1206249,11
glyph,2899,0,167,18
avert,2400,2,2538,8
brave,2396,1,7786,8
axiom,2382,3,556,4
prime,2534,1,25289,4
drive,2451,1,115818,8
feast,2725,1,4619,8
itchy,2329,2,456,4
clean,2424,1,47352,4
happy,2356,2,56831,4
tepid,2484,2,638,8
undue,2316,2,1035,4
study,2405,2,238752,8
eject,2200,2,1338,17
chafe,2343,1,711,4
torso,2260,2,2867,8
adore,2398,2,2597,11
woken,2200,2,0,4
amber,2261,2,1466,8
joust,2388,1,229,8
infer,1863,2,1942,8
braid,2165,1,2672,8
knock,2041,1,21989,8
naive,2075,0,0,2
apply,2150,2,45745,13
spoke,2224,1,890,14
usual,2048,3,20362,4
rival,2127,2,11835,4
probe,2160,1,8374,8
chord,2088,1,2731,8
taper,2108,2,1170,8
slate,2422,1,4549,8
third,2261,1,72864,4
lunar,2036,2,3236,4
excel,2034,2,2995,8
aorta,2112,3,215,8
poise,1911,1,4228,8
extra,1562,2,28666,4
judge,2043,1,68108,8
condo,2012,2,3064,8
impel,1937,2,552,8
havoc,1919,2,1715,8
molar,1973,0,401,8
manly,1899,2,834,11
